machineID,model,age,datetime,errorID
1,model3,18,1/3/2015 7:00:00 AM,error1
1,model3,18,1/3/2015 8:00:00 PM,error3
1,model3,18,1/4/2015 6:00:00 AM,error5
1,model3,18,1/10/2015 3:00:00 PM,error4
1,model3,18,1/22/2015 10:00:00 AM,error4
1,model3,18,1/25/2015 3:00:00 PM,error4
1,model3,18,1/27/2015 4:00:00 AM,error1
1,model3,18,3/3/2015 10:00:00 PM,error2
1,model3,18,3/5/2015 6:00:00 AM,error1
1,model3,18,3/20/2015 6:00:00 PM,error1
1,model3,18,3/26/2015 1:00:00 AM,error2
1,model3,18,3/31/2015 11:00:00 PM,error1
1,model3,18,4/19/2015 6:00:00 AM,error2
1,model3,18,4/19/2015 6:00:00 AM,error3
1,model3,18,4/29/2015 7:00:00 PM,error4
1,model3,18,5/4/2015 11:00:00 PM,error2
1,model3,18,5/12/2015 9:00:00 AM,error1
1,model3,18,5/21/2015 7:00:00 AM,error4
1,model3,18,5/24/2015 2:00:00 AM,error3
1,model3,18,5/25/2015 5:00:00 AM,error1
1,model3,18,6/9/2015 6:00:00 AM,error3
1,model3,18,6/18/2015 6:00:00 AM,error5
1,model3,18,6/23/2015 10:00:00 AM,error3
1,model3,18,8/23/2015 7:00:00 PM,error1
1,model3,18,8/30/2015 1:00:00 AM,error3
1,model3,18,9/1/2015 6:00:00 AM,error5
1,model3,18,9/13/2015 5:00:00 PM,error2
1,model3,18,9/15/2015 6:00:00 AM,error1
1,model3,18,10/1/2015 11:00:00 PM,error1
1,model3,18,10/15/2015 5:00:00 AM,error1
1,model3,18,10/16/2015 3:00:00 AM,error3
1,model3,18,10/16/2015 6:00:00 AM,error2
1,model3,18,10/16/2015 6:00:00 AM,error3
1,model3,18,11/10/2015 4:00:00 AM,error3
1,model3,18,12/15/2015 6:00:00 AM,error5
2,model4,7,1/12/2015 2:00:00 PM,error4
2,model4,7,2/6/2015 10:00:00 AM,error4
2,model4,7,2/11/2015 11:00:00 AM,error1
2,model4,7,3/11/2015 10:00:00 PM,error2
2,model4,7,3/18/2015 6:00:00 AM,error1
2,model4,7,3/18/2015 6:00:00 AM,error2
2,model4,7,3/18/2015 6:00:00 AM,error3
2,model4,7,3/26/2015 3:00:00 AM,error2
2,model4,7,3/27/2015 5:00:00 PM,error3
2,model4,7,4/17/2015 6:00:00 AM,error2
2,model4,7,4/17/2015 6:00:00 AM,error3
2,model4,7,5/7/2015 8:00:00 AM,error2
2,model4,7,5/13/2015 10:00:00 AM,error1
2,model4,7,5/30/2015 8:00:00 PM,error5
2,model4,7,6/18/2015 2:00:00 PM,error5
2,model4,7,7/18/2015 6:00:00 AM,error4
2,model4,7,7/20/2015 10:00:00 AM,error2
2,model4,7,7/23/2015 2:00:00 AM,error1
2,model4,7,8/3/2015 10:00:00 AM,error1
2,model4,7,8/18/2015 10:00:00 PM,error5
2,model4,7,8/23/2015 10:00:00 AM,error2
2,model4,7,8/28/2015 8:00:00 AM,error2
2,model4,7,9/16/2015 1:00:00 PM,error4
2,model4,7,9/19/2015 9:00:00 PM,error4
2,model4,7,9/23/2015 7:00:00 PM,error2
2,model4,7,11/8/2015 9:00:00 PM,error3
2,model4,7,12/28/2015 6:00:00 AM,error2
2,model4,7,12/28/2015 6:00:00 AM,error3
3,model3,8,1/6/2015 6:00:00 AM,error2
3,model3,8,1/6/2015 6:00:00 AM,error3
3,model3,8,1/8/2015 2:00:00 AM,error1
3,model3,8,1/11/2015 5:00:00 AM,error1
3,model3,8,1/11/2015 7:00:00 PM,error3
3,model3,8,1/28/2015 5:00:00 PM,error4
3,model3,8,2/5/2015 6:00:00 AM,error1
3,model3,8,2/23/2015 6:00:00 AM,error4
3,model3,8,3/2/2015 11:00:00 AM,error4
3,model3,8,3/21/2015 4:00:00 PM,error3
3,model3,8,4/6/2015 4:00:00 PM,error2
3,model3,8,4/9/2015 9:00:00 AM,error3
3,model3,8,4/26/2015 7:00:00 PM,error2
3,model3,8,5/6/2015 7:00:00 PM,error4
3,model3,8,5/24/2015 3:00:00 PM,error2
3,model3,8,6/10/2015 9:00:00 PM,error4
3,model3,8,6/27/2015 7:00:00 AM,error1
3,model3,8,7/9/2015 9:00:00 PM,error4
3,model3,8,7/18/2015 7:00:00 PM,error1
3,model3,8,7/20/2015 6:00:00 AM,error2
3,model3,8,7/20/2015 6:00:00 AM,error3
3,model3,8,7/25/2015 11:00:00 PM,error4
3,model3,8,7/29/2015 5:00:00 PM,error1
3,model3,8,8/2/2015 3:00:00 PM,error1
3,model3,8,8/7/2015 4:00:00 AM,error2
3,model3,8,9/8/2015 4:00:00 AM,error1
3,model3,8,9/13/2015 11:00:00 AM,error1
3,model3,8,9/18/2015 10:00:00 AM,error2
3,model3,8,10/1/2015 2:00:00 AM,error5
3,model3,8,10/3/2015 6:00:00 AM,error2
3,model3,8,10/3/2015 6:00:00 AM,error3
3,model3,8,10/23/2015 2:00:00 PM,error3
3,model3,8,10/31/2015 11:00:00 PM,error2
3,model3,8,11/7/2015 3:00:00 PM,error4
3,model3,8,11/20/2015 11:00:00 PM,error1
3,model3,8,12/2/2015 6:00:00 AM,error2
3,model3,8,12/2/2015 6:00:00 AM,error3
3,model3,8,12/19/2015 10:00:00 PM,error5
3,model3,8,12/25/2015 12:00:00 PM,error1
4,model3,7,1/4/2015 3:00:00 AM,error3
4,model3,7,1/6/2015 1:00:00 AM,error1
4,model3,7,1/11/2015 2:00:00 PM,error3
4,model3,7,1/13/2015 6:00:00 PM,error2
4,model3,7,1/14/2015 9:00:00 PM,error1
4,model3,7,1/16/2015 6:00:00 AM,error2
4,model3,7,1/16/2015 6:00:00 AM,error3
4,model3,7,2/12/2015 3:00:00 PM,error2
4,model3,7,2/15/2015 6:00:00 AM,error1
4,model3,7,2/27/2015 9:00:00 AM,error1
4,model3,7,3/19/2015 5:00:00 AM,error2
4,model3,7,3/22/2015 10:00:00 PM,error1
4,model3,7,4/1/2015 6:00:00 AM,error2
4,model3,7,4/1/2015 6:00:00 AM,error3
4,model3,7,4/6/2015 2:00:00 PM,error1
4,model3,7,5/3/2015 5:00:00 PM,error2
4,model3,7,6/23/2015 8:00:00 AM,error2
4,model3,7,7/15/2015 6:00:00 AM,error2
4,model3,7,7/15/2015 6:00:00 AM,error3
4,model3,7,7/24/2015 5:00:00 AM,error2
