machineID,model,age,datetime,errorID,volt,rotate,pressure,vibration
1,model3,18,1/3/2015 7:00:00 AM,error1,170.83389762467777,446.33650172916634,100.66830588816356,40.58630887342604
1,model3,18,1/3/2015 8:00:00 PM,error3,170.83389762467777,446.33650172916634,100.66830588816356,40.58630887342604
1,model3,18,1/4/2015 6:00:00 AM,error5,170.83389762467777,446.33650172916634,100.66830588816356,40.58630887342604
1,model3,18,1/10/2015 3:00:00 PM,error4,170.83389762467777,446.33650172916634,100.66830588816356,40.58630887342604
1,model3,18,1/22/2015 10:00:00 AM,error4,170.83389762467777,446.33650172916634,100.66830588816356,40.58630887342604
1,model3,18,1/25/2015 3:00:00 PM,error4,170.83389762467777,446.33650172916634,100.66830588816356,40.58630887342604
1,model3,18,1/27/2015 4:00:00 AM,error1,170.83389762467777,446.33650172916634,100.66830588816356,40.58630887342604
1,model3,18,3/3/2015 10:00:00 PM,error2,170.83389762467777,446.33650172916634,100.66830588816356,40.58630887342604
1,model3,18,3/5/2015 6:00:00 AM,error1,170.83389762467777,446.33650172916634,100.66830588816356,40.58630887342604
1,model3,18,3/20/2015 6:00:00 PM,error1,170.83389762467777,446.33650172916634,100.66830588816356,40.58630887342604
1,model3,18,3/26/2015 1:00:00 AM,error2,170.83389762467777,446.33650172916634,100.66830588816356,40.58630887342604
1,model3,18,3/31/2015 11:00:00 PM,error1,170.83389762467777,446.33650172916634,100.66830588816356,40.58630887342604
1,model3,18,4/19/2015 6:00:00 AM,error2,170.83389762467777,446.33650172916634,100.66830588816356,40.58630887342604
1,model3,18,4/19/2015 6:00:00 AM,error3,170.83389762467777,446.33650172916634,100.66830588816356,40.58630887342604
1,model3,18,4/29/2015 7:00:00 PM,error4,170.83389762467777,446.33650172916634,100.66830588816356,40.58630887342604
1,model3,18,5/4/2015 11:00:00 PM,error2,170.83389762467777,446.33650172916634,100.66830588816356,40.58630887342604
1,model3,18,5/12/2015 9:00:00 AM,error1,170.83389762467777,446.33650172916634,100.66830588816356,40.58630887342604
1,model3,18,5/21/2015 7:00:00 AM,error4,170.83389762467777,446.33650172916634,100.66830588816356,40.58630887342604
1,model3,18,5/24/2015 2:00:00 AM,error3,170.83389762467777,446.33650172916634,100.66830588816356,40.58630887342604
1,model3,18,5/25/2015 5:00:00 AM,error1,170.83389762467777,446.33650172916634,100.66830588816356,40.58630887342604
1,model3,18,6/9/2015 6:00:00 AM,error3,170.83389762467777,446.33650172916634,100.66830588816356,40.58630887342604
1,model3,18,6/18/2015 6:00:00 AM,error5,170.83389762467777,446.33650172916634,100.66830588816356,40.58630887342604
1,model3,18,6/23/2015 10:00:00 AM,error3,170.83389762467777,446.33650172916634,100.66830588816356,40.58630887342604
1,model3,18,8/23/2015 7:00:00 PM,error1,170.83389762467777,446.33650172916634,100.66830588816356,40.58630887342604
1,model3,18,8/30/2015 1:00:00 AM,error3,170.83389762467777,446.33650172916634,100.66830588816356,40.58630887342604
1,model3,18,9/1/2015 6:00:00 AM,error5,170.83389762467777,446.33650172916634,100.66830588816356,40.58630887342604
1,model3,18,9/13/2015 5:00:00 PM,error2,170.83389762467777,446.33650172916634,100.66830588816356,40.58630887342604
1,model3,18,9/15/2015 6:00:00 AM,error1,170.83389762467777,446.33650172916634,100.66830588816356,40.58630887342604
1,model3,18,10/1/2015 11:00:00 PM,error1,170.83389762467777,446.33650172916634,100.66830588816356,40.58630887342604
1,model3,18,10/15/2015 5:00:00 AM,error1,170.83389762467777,446.33650172916634,100.66830588816356,40.58630887342604
1,model3,18,10/16/2015 3:00:00 AM,error3,170.83389762467777,446.33650172916634,100.66830588816356,40.58630887342604
1,model3,18,10/16/2015 6:00:00 AM,error2,170.83389762467777,446.33650172916634,100.66830588816356,40.58630887342604
1,model3,18,10/16/2015 6:00:00 AM,error3,170.83389762467777,446.33650172916634,100.66830588816356,40.58630887342604
1,model3,18,11/10/2015 4:00:00 AM,error3,170.83389762467777,446.33650172916634,100.66830588816356,40.58630887342604
1,model3,18,12/15/2015 6:00:00 AM,error5,170.83389762467777,446.33650172916634,100.66830588816356,40.58630887342604
2,model4,7,1/12/2015 2:00:00 PM,error4,170.76048201063503,446.38891465251453,100.53992979635964,40.30153863455983
2,model4,7,2/6/2015 10:00:00 AM,error4,170.76048201063503,446.38891465251453,100.53992979635964,40.30153863455983
